event_id_cnty,event_date,year,time_precision,disorder_type,event_type,sub_event_type,actor1,assoc_actor_1,inter1,actor2,assoc_actor_2,inter2,interaction,civilian_targeting,iso,region,country,admin1,admin2,admin3,location,latitude,longitude,geo_precision,source,source_scale,notes,fatalities,tags,timestamp
ISR38245,1-Dec-23,2023,1,Political violence,Explosions/Remote violence,Shelling/artillery/missile attack,Hamas Movement,,3,,,0,30,,376,Middle East,Israel,HaDarom,Ashqelon,Ashqelon,Mefalsim,31.5013,34.5637,1,Haaretz; Times of Israel,National,"On 1 December 2023, Hamas militants fired rockets from Gaza toward southern Israel, including Mefalsim (Ashqelon, HaDarom). One rocket fell in Mefalsim, causing property damage.",0,,1701732586
ISR38246,1-Dec-23,2023,1,Political violence,Explosions/Remote violence,Shelling/artillery/missile attack,Hamas Movement,,3,,,0,30,,376,Middle East,Israel,HaDarom,Ashqelon,Ashqelon,Karmiyya,31.6044,34.5426,2,N12,National,"On 1 December 2023, Hamas militants fired rockets from Gaza toward southern Israel, including the Hof Ashkelon Regional Council. Three of the rockets fell within the regional council, presumably in the area Karmiyya (Ashqelon, HaDarom), and caused property damage.",0,,1701732586
ISR38247,1-Dec-23,2023,1,Political violence,Explosions/Remote violence,Shelling/artillery/missile attack,Hamas Movement,,3,,,0,30,,376,Middle East,Israel,HaDarom,Beer Sheva,Besor,Kissufim,31.3749,34.3984,1,Ynet,National,"On 1 December 2023, Hamas militants fired rockets from Gaza toward southern Israel, including Kissufim (Beer Sheva, HaDarom). At least one rocket fell in Kissufim, causing heavy damage to a car.",0,,1701732586
ISR38248,1-Dec-23,2023,1,Political violence,Explosions/Remote violence,Shelling/artillery/missile attack,Hezbollah,,3,Military Forces of Israel (2022-),,1,13,,376,Middle East,Israel,HaZafon,Akko,Nahariyya,Rosh HaNikra,33.0861,35.1135,2,N12; Times of Israel; Ynet,National,"On 1 December 2023, Hezbollah forces fired several rockets from Lebanon toward IDF posts near Rosh HaNikra (Akko, HaZafon). No interceptions or direct hits to populated areas were reported, as the rockets likely fell in open areas.",0,,1701732586
ISR38249,1-Dec-23,2023,1,Political violence,Explosions/Remote violence,Shelling/artillery/missile attack,Hezbollah,,3,Military Forces of Israel (2022-),,1,13,,376,Middle East,Israel,HaZafon,Zefat,Eastern Upper Galilee,Margaliyyot,33.2147,35.5449,2,N12; Times of Israel; Ynet,National,"On 1 December 2023, Hezbollah forces fired several rockets from Lebanon toward IDF posts near Margaliyyot (Zefat, HaZafon). No interceptions or direct hits to populated areas were reported, as the rockets likely fell in open areas.",0,,1701732586
ISR38250,1-Dec-23,2023,1,Political violence,Explosions/Remote violence,Shelling/artillery/missile attack,Hezbollah,,3,,,0,30,,376,Middle East,Israel,HaZafon,Zefat,Hula Basin,Kiryat Shmona,33.2073,35.572,2,N12; Times of Israel; Ynet,National,"On 1 December 2023, Hezbollah forces fired rockets toward Kiryat Shmona (Zefat, HaZafon) and surrounding areas. Two of the rockets were intercepted, while the rest likely fell in open areas near Kiryat Shmona.",0,,1701732586
PSE41810,1-Dec-23,2023,1,Political violence,Explosions/Remote violence,Air/drone strike,Military Forces of Israel (2022-),,8,Civilians (Palestine),,7,78,Civilian targeting,275,Middle East,Palestine,Gaza Strip,Gaza City,,Al Mughraqa,31.4675,34.4097,1,Ma'an News Agency; Palestine News and Information Agency,National,"On 1 December 2023, Israeli warplanes struck targets and a house in Al Mughraqa (Gaza City, Gaza Strip). A 16-year-old Palestinian was killed.",1,,1701732586
ISR38251,1-Dec-23,2023,1,Political violence,Explosions/Remote violence,Shelling/artillery/missile attack,Hezbollah,,3,,,0,30,,376,Middle East,Israel,HaZafon,Zefat,Eastern Upper Galilee,Dishon,33.0814,35.5174,2,N12; Times of Israel,National,"On 1 December 2023, Hezbollah forces fired missiles, including a Katyusha rocket, from Lebanon toward the area of Dishon (Zefat, HaZafon). No direct hits to populated areas were reported, as the missiles likely fell in open areas.",0,,1701732586
PSE41812,1-Dec-23,2023,1,Political violence,Explosions/Remote violence,Air/drone strike,Military Forces of Israel (2022-),,8,Civilians (Palestine),Refugees/IDPs (Palestine),7,78,Civilian targeting,275,Middle East,Palestine,Gaza Strip,Rafah,,Rafah,31.287,34.2595,1,Ma'an News Agency; Newpress; Palestine News and Information Agency; Quds News Network; Twitter,New media-National,"On 1 December 2023, Israeli warplanes struck houses in Rafah city and al-Shaboura refugee camp in the city (Rafah, Gaza Strip), killing 9 Palestinians and injuring several of others.",9,,1701732586
PSE41813,1-Dec-23,2023,1,Political violence,Explosions/Remote violence,Air/drone strike,Military Forces of Israel (2022-),,8,Civilians (Palestine),,7,78,Civilian targeting,275,Middle East,Palestine,Gaza Strip,Rafah,,Tal as Sultan,31.3098,34.2414,2,Palestine News and Information Agency,National,"On 1 December 2023, Israeli warplanes struck a house west of Rafah, in Tal as Sultan (Rafah, Gaza Strip), killing a Palestinian and injuring several of others.",1,,1701732586
